REP	CUSNO	ST	CITY	ZIP	NAME	CRED	OPEN $	YTD SALES	ACT DT	SLMN ID
Alice	1190	AL	MOBILE	366096609	KELLWOOD-HANDY TRUCKING	A	0	263800	850815	26380
Alice	550	AR	EL DORADO	717301730	H. F. MURPHY CORP	A	0	34550	850815	3455
Alice	830	AR	SPRINGDALE	727642764	AVERY PRINTING	A	0	230900	850815	23090
Alice	250	AZ	PHOENIX	850365036	MICHIGAN LIGHTING INC.	A	0	182600	850815	18260
Alice	1070	AZ	PHOENIX	850125012	JORIE PAPER INC	A	0	76200	850815	7620
Alice	1630	CA	BURBANK	911031103	MARBURY MATERIALS	A	446.5	287600	860220	28760
Alice	1750	CA	CHULA VISTA	232203220	MILES-COOPER GENERAL CORP.	A	0	118900	850815	11890
Alice	1050	CA	COSTA MESA	282888288	MACMILLAN HOME PRODUCTS CO	A	0	248400	850815	24840
Alice	1050	CA	COSTA MESA	282888288	MACMILLAN HOME PRODUCTS CO	A	0	248400	850815	24841
Alice	1050	CA	COSTA MESA	282888288	MACMILLAN HOME PRODUCTS CO	A	0	248400	850815	24842
Alice	1050	CA	COSTA MESA	282888288	MACMILLAN HOME PRODUCTS CO	A	0	248400	850815	24843
Alice	1410	CA	FRESNO	937213721	WRIGHT-ILLINOIS DATA	A	0	276750	850815	27675
Alice	1170	CA	GLENDALE	912031203	PARK-HESS & COMPANY	A	0	263100	850815	26310
Alice	1510	CA	HUNT VALLEY	900360036	ABBOTT BRANDS CORP	A	0	105600	850815	10560
Alice	130	CA	LOS ANGELES	902130000	SUN DIAL CITRUS GROWERS	A	21489	293900	850815	29390
Alice	510	CA	LOS ANGELES	900540054	SIGNAL/WEST PETROLEUM	A	0	204300	850815	20430
Alice	1690	CA	PASADENA	911031103	WALTERS-BORUM INCOP	A	0	289350	850815	28935
Alice	1830	CA	RIVERSIDE	911031103	SPRINGS-WEYER LABORATORIES	A	0	297750	850815	29775
Alice	310	CA	SAN MATEO	940024002	CARTERET STEEL CORPORATION	A	3457	10750	850815	1075
Alice	1610	CA	SANTA MONICA	904060406	ROLM-CASTLE SOY PRODUCTS	A	0	112600	850815	11260
Alice	190	CA	SHERMAN OAKS	914231423	SOUTHWEST STATE OIL REFINING	A	0	179800	850815	17980
Alice	970	CA	VAN NUYS	914051405	PHELPS FINANCIAL CORP	A	1441.08	239650	850815	23965
Alice	1130	CO	DENVER	100190019	ST. LOUIS FOODS DIST.	A	0	258550	850815	25855
Alice	2030	CT	HARTFORD	494439443	KNIGHT-GANNETT TOYS INC	A	0	129400	850815	12940
Alice	2090	CT	ORANGE	64776477	BRYAN DAIRY PRODUCTS	A	0	305800	850815	30580
Alice	1430	DC	WASHINGTON	200760076	PITWAN-WAY FOODS	A	0	277100	850815	27710
